Precinct,obama,romney,johnson,stein,other,totalvotes,PrecinctName,StateName,StateAbbr,dPct,rPct,leanD,leanR,otherPct,dDRPct,rDRPct
36-012,37,9,3,2,0,51,Atmautluak,AK,AK,0.725490196078,0.176470588235,4.11111111111,0.243243243243,0.0,0.804347826087,0.195652173913
36-014,88,5,3,1,0,97,Chefornak,AK,AK,0.907216494845,0.0515463917526,17.6,0.0568181818182,0.0,0.94623655914,0.0537634408602
36-016,15,8,0,0,0,23,Chuathbaluk,AK,AK,0.652173913043,0.347826086957,1.875,0.533333333333,0.0,0.652173913043,0.347826086957
36-018,26,4,0,0,2,32,Crooked Creek,AK,AK,0.8125,0.125,6.5,0.153846153846,0.0625,0.866666666667,0.133333333333
36-020,424,239,20,11,2,696,Dillingham,AK,AK,0.609195402299,0.343390804598,1.77405857741,0.563679245283,0.00287356321839,0.6395173454,0.3604826546
36-022,23,12,0,0,1,36,Ekwok,AK,AK,0.638888888889,0.333333333333,1.91666666667,0.521739130435,0.0277777777778,0.657142857143,0.342857142857
36-024,50,3,0,0,0,53,Holy Cross,AK,AK,0.943396226415,0.0566037735849,16.6666666667,0.06,0.0,0.943396226415,0.0566037735849
36-026,68,7,1,0,0,76,Kasigluk,AK,AK,0.894736842105,0.0921052631579,9.71428571429,0.102941176471,0.0,0.906666666667,0.0933333333333
36-028,47,96,8,5,1,157,King Salmon,AK,AK,0.299363057325,0.611464968153,0.489583333333,2.04255319149,0.00636942675159,0.328671328671,0.671328671329
36-030,104,11,3,5,0,123,Kipnuk,AK,AK,0.845528455285,0.0894308943089,9.45454545455,0.105769230769,0.0,0.904347826087,0.095652173913
36-032,34,16,1,0,0,51,Koliganek,AK,AK,0.666666666667,0.313725490196,2.125,0.470588235294,0.0,0.68,0.32
36-034,79,17,1,3,0,100,Kongiganak,AK,AK,0.79,0.17,4.64705882353,0.215189873418,0.0,0.822916666667,0.177083333333
36-036,122,16,4,3,0,145,Kwethluk,AK,AK,0.841379310345,0.110344827586,7.625,0.131147540984,0.0,0.884057971014,0.115942028986
36-038,64,14,4,3,0,85,Kwigillingok,AK,AK,0.752941176471,0.164705882353,4.57142857143,0.21875,0.0,0.820512820513,0.179487179487
36-040,46,34,1,1,0,82,Lake Iliamna No. 1,AK,AK,0.560975609756,0.414634146341,1.35294117647,0.739130434783,0.0,0.575,0.425
36-042,40,17,1,0,0,58,Lake Iliamna No. 2,AK,AK,0.689655172414,0.293103448276,2.35294117647,0.425,0.0,0.701754385965,0.298245614035
36-044,17,4,2,1,0,24,Levelock,AK,AK,0.708333333333,0.166666666667,4.25,0.235294117647,0.0,0.809523809524,0.190476190476
36-046,62,20,4,5,2,93,Lower Kalskag,AK,AK,0.666666666667,0.215053763441,3.1,0.322580645161,0.0215053763441,0.756097560976,0.243902439024
36-048,67,48,6,2,0,123,Manokotak,AK,AK,0.544715447154,0.390243902439,1.39583333333,0.716417910448,0.0,0.582608695652,0.417391304348
36-050,70,83,3,1,2,159,Naknek,AK,AK,0.440251572327,0.522012578616,0.843373493976,1.18571428571,0.0125786163522,0.457516339869,0.542483660131
